n_fft,hop_length,n_mels,fmin,fmax,ARI,NMI
512,128,64,1,2000,0.21646612471507815,0.5274428755147142
512,128,64,1,4000,0.28391683528224493,0.5650417453744684
512,128,64,1,6000,0.30309080660200927,0.5848247435336907
512,128,64,1,8000,0.26949592272476314,0.5489191683318095
512,128,64,1,12000,0.24797804275452,0.5474818791846773
512,128,64,5,2000,0.2977029690466848,0.5931536821977461
512,128,64,5,4000,0.31970172568784355,0.5968768050826159
512,128,64,5,6000,0.2225832085735234,0.5294215076587948
512,128,64,5,8000,0.30311494010915385,0.5838258577943932
512,128,64,5,12000,0.24797804275452,0.5474818791846773
512,128,64,10,2000,0.2576515071417423,0.554660757122984
512,128,64,10,4000,0.25450239890661114,0.541657408182132
512,128,64,10,6000,0.21315834208725443,0.5024980381788241
512,128,64,10,8000,0.35607809119589406,0.6123328058192028
512,128,64,10,12000,0.24797804275452,0.5474818791846773
512,128,64,20,2000,0.28916293813578803,0.5551718818375374
512,128,64,20,4000,0.3428953767644841,0.6050887529196146
512,128,64,20,6000,0.29174012146734135,0.5800690624785863
512,128,64,20,8000,0.33808828951399744,0.5943499737117813
512,128,64,20,12000,0.35816444833713884,0.6152258860228089
512,128,64,50,2000,0.18250899304825235,0.5016246275755751
512,128,64,50,4000,0.318159327065809,0.5877599258138169
512,128,64,50,6000,0.22063198069259696,0.5328142369878225
512,128,64,50,8000,0.23484628298506427,0.5207961505233234
512,128,64,50,12000,0.34556479147306324,0.608529752542171
512,128,128,1,2000,0.12607218704287776,0.4416631661953851
512,128,128,1,4000,0.23394306776124404,0.5250884962397697
512,128,128,1,6000,0.23833662814147924,0.5428104467593768
512,128,128,1,8000,0.3793483502100985,0.6304840867036767
512,128,128,1,12000,0.20384107691853526,0.5249574617539701
512,128,128,5,2000,0.12624055942619794,0.44074270456840353
512,128,128,5,4000,0.14051680870866043,0.4560219058444988
512,128,128,5,6000,0.2548405025009889,0.5518691501607486
512,128,128,5,8000,0.36474478197974786,0.6134666351970702
512,128,128,5,12000,0.18623459088525088,0.5009748577221356
512,128,128,10,2000,0.09464274581457023,0.4162358822325969
512,128,128,10,4000,0.28669936431646453,0.5771473021581014
512,128,128,10,6000,0.21236804721840905,0.5164213935627774
512,128,128,10,8000,0.24661395434730843,0.5571653056548288
512,128,128,10,12000,0.27519385900500465,0.5509294693978835
512,128,128,20,2000,0.19290753318520154,0.5107542512702385
512,128,128,20,4000,0.15092472320158348,0.45796440107213415
512,128,128,20,6000,0.3442364669760339,0.604528980896313
512,128,128,20,8000,0.17202837563692278,0.4907600956067528
512,128,128,20,12000,0.29558801013478475,0.5828150811859234
512,128,128,50,2000,0.16643035840390646,0.4915721034680424
512,128,128,50,4000,0.2224868571676586,0.4997041710660303
512,128,128,50,6000,0.22164873400244012,0.5038907346809595
512,128,128,50,8000,0.20495746591416833,0.5228867968731633
512,128,128,50,12000,0.33288076550675877,0.617105311991003
512,128,256,1,2000,0.13447300757466416,0.4701349146401791
512,128,256,1,4000,0.08548721987542063,0.43517117857218446
512,128,256,1,6000,0.11541123574134442,0.44225926418285083
512,128,256,1,8000,0.14913280981570654,0.48144227967921627
512,128,256,1,12000,0.12986421115631916,0.4729148191397835
512,128,256,5,2000,0.13762280606500507,0.4672134153583062
512,128,256,5,4000,0.13812678450224658,0.4795344995393949
512,128,256,5,6000,0.17819911086326812,0.5063640707674784
512,128,256,5,8000,0.08951597572228069,0.42194690015422526
512,128,256,5,12000,0.1603730841939163,0.49304384200193174
512,128,256,10,2000,0.06525960408241466,0.38532050406020263
512,128,256,10,4000,0.06261457890119819,0.4039683549270578
512,128,256,10,6000,0.08690384105673686,0.40985474137850997
512,128,256,10,8000,0.1293535013523614,0.46756231140590665
512,128,256,10,12000,0.10704751873021774,0.4191045870772266
512,128,256,20,2000,0.0038371329823611217,0.33861707095632265
512,128,256,20,4000,0.016368238698447734,0.3491219727777396
512,128,256,20,6000,0.060767036271905786,0.3780690118197233
512,128,256,20,8000,0.09351382168491529,0.42330786695272643
512,128,256,20,12000,0.11992669295353686,0.45064984673767094
512,128,256,50,2000,0.06751322854727831,0.4025005625554293
512,128,256,50,4000,0.12343380826233265,0.46459084446853444
512,128,256,50,6000,0.13647507627165192,0.47161314066846005
512,128,256,50,8000,0.15520206596101366,0.4863907587270386
512,128,256,50,12000,0.12469845982557061,0.44732869999258323
512,256,64,1,2000,0.2897716483743035,0.5467579768599943
512,256,64,1,4000,0.31381678210944075,0.5826422437575224
